GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookShop,com.example.bookshop.util,JwtUtil,2,83,2,2,0,18,2,8,0,8
BookShop,com.example.bookshop.service,BookService,0,264,0,24,0,60,0,23,0,11
BookShop,com.example.bookshop.service,EmailService,0,99,0,0,0,24,0,3,0,3
BookShop,com.example.bookshop.service,OTPService.new CacheLoader() {...},3,6,0,0,1,1,1,1,1,1
BookShop,com.example.bookshop.service,OrderService,0,453,0,26,0,84,0,20,0,7
BookShop,com.example.bookshop.service,AuthorService,0,116,0,10,0,26,0,11,0,6
BookShop,com.example.bookshop.service,AddressService,0,114,0,12,0,27,0,12,0,6
BookShop,com.example.bookshop.service,CartService,0,207,0,14,0,40,0,12,0,5
BookShop,com.example.bookshop.service,UserService,0,284,0,20,0,67,0,21,0,11
BookShop,com.example.bookshop.service,RoleService,0,9,0,0,0,2,0,2,0,2
BookShop,com.example.bookshop.service,JwtService,0,119,0,4,0,23,0,8,0,6
BookShop,com.example.bookshop.service,OTPService,0,53,0,0,0,14,0,5,0,5
BookShop,com.example.bookshop.entities,Orders,24,279,15,27,0,4,14,25,0,18
BookShop,com.example.bookshop.entities,Book,27,307,15,25,0,3,15,27,0,22
BookShop,com.example.bookshop.entities,Role.RoleBuilder,37,0,0,0,1,0,5,0,5,0
BookShop,com.example.bookshop.entities,Users,41,415,25,53,0,3,23,40,0,24
BookShop,com.example.bookshop.entities,UserStatus,0,24,0,0,0,2,0,1,0,1
BookShop,com.example.bookshop.entities,OrderStatus,0,34,0,0,0,2,0,1,0,1
BookShop,com.example.bookshop.entities,Address,15,223,9,25,0,3,9,24,0,16
BookShop,com.example.bookshop.entities,JwtResponse,26,105,10,12,0,2,10,10,2,7
BookShop,com.example.bookshop.entities,Author,22,170,10,16,0,3,10,17,1,13
BookShop,com.example.bookshop.entities,JwtRequest,18,116,10,12,0,3,8,13,0,10
BookShop,com.example.bookshop.entities,Cart,100,111,16,10,0,4,14,13,2,12
BookShop,com.example.bookshop.entities,Role,10,128,4,18,1,3,5,17,1,10
BookShop,com.example.bookshop.messages,Messages,0,3,0,0,0,2,0,1,0,1
BookShop,com.example.bookshop.configuration,JwtAuthenticationEntryPoint,5,3,0,0,2,1,1,1,1,1
BookShop,com.example.bookshop.configuration,CorsConfiguration.new WebMvcConfigurer() {...},46,0,0,0,7,0,2,0,2,0
BookShop,com.example.bookshop.configuration,CorsConfiguration,5,3,0,0,1,1,1,1,1,1
BookShop,com.example.bookshop.configuration,JwtRequestFilter,78,7,10,0,21,2,6,1,1,1
BookShop,com.example.bookshop.configuration,WebSecurityConfiguration,0,75,0,0,0,16,0,5,0,5
BookShop,com.example.bookshop.controller,JwtController,0,85,0,6,0,14,0,10,0,7
BookShop,com.example.bookshop.controller,OrderController,0,47,0,0,0,6,0,5,0,5
BookShop,com.example.bookshop.controller,RoleController,0,10,0,0,0,2,0,2,0,2
BookShop,com.example.bookshop.controller,AddressController,0,48,0,0,0,5,0,5,0,5
BookShop,com.example.bookshop.controller,BookController,0,113,0,4,0,16,0,12,0,10
BookShop,com.example.bookshop.controller,AdminController,0,24,0,0,0,4,0,4,0,4
BookShop,com.example.bookshop.controller,CartController,0,46,0,2,0,8,0,5,0,4
BookShop,com.example.bookshop.controller,AuthorController,0,43,0,0,0,5,0,5,0,5
BookShop,com.example.bookshop.controller,UserController,0,9,0,0,0,4,0,3,0,3
BookShop,com.example.bookshop,BookShopApplication,5,3,0,0,2,1,1,1,1,1
BookShop,com.example.bookshop.dto,RoleDto,7,145,5,17,0,9,5,18,0,12
BookShop,com.example.bookshop.dto,AddressDto,15,253,9,25,0,11,9,28,0,20
BookShop,com.example.bookshop.dto,BookDto,23,341,13,27,0,11,13,33,0,26
BookShop,com.example.bookshop.dto,CartDto,12,207,7,19,0,9,7,22,0,16
BookShop,com.example.bookshop.dto,Credentials,23,111,9,13,0,3,9,12,2,8
BookShop,com.example.bookshop.dto,OrdersDto,18,305,11,31,0,11,11,32,0,22
BookShop,com.example.bookshop.dto,AuthorDto,21,155,5,13,1,10,6,19,1,15
BookShop,com.example.bookshop.dto,UserDto,40,446,25,53,0,11,23,44,0,28
BookShop,com.example.bookshop.exception,InvalidInputException,0,4,0,0,0,2,0,1,0,1
BookShop,com.example.bookshop.exception,AlreadyEnabledException,0,4,0,0,0,2,0,1,0,1
BookShop,com.example.bookshop.exception,ErrorMessage,0,3,0,0,0,2,0,1,0,1
BookShop,com.example.bookshop.exception,AlreadyExistException,0,4,0,0,0,2,0,1,0,1
BookShop,com.example.bookshop.exception,RecordNotFoundException,0,4,0,0,0,2,0,1,0,1
BookShop,com.example.bookshop.exception,ShortPasswordException,0,4,0,0,0,2,0,1,0,1
BookShop,com.example.bookshop.exception,GlobalExceptionHandler,0,45,0,0,0,7,0,7,0,7
BookShop,com.example.bookshop.exception,EmptyRecordException,0,4,0,0,0,2,0,1,0,1
